Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Overhead;Jitting;1;246600;1;246600;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Jitting;1;58709500;1;58709500;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;1;15748800;2;7874400;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;2;25340400;3;8446800;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;3;33428000;4;8357000;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;4;43167000;5;8633400;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;5;55820800;6;9303466.67;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;6;61017400;7;8716771.43;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;7;67628200;8;8453525;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;8;70946000;9;7882888.89;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;9;79555200;10;7955520;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;10;91144200;11;8285836.36;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;11;97324800;12;8110400;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;12;106616200;13;8201246.15;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;13;110138200;14;7867014.29;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;14;120897800;15;8059853.33;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;15;128300400;16;8018775;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;16;258916000;32;8091125;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Pilot;17;524064900;64;8188514.06;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Warmup;1;514508400;64;8039193.75;14;0;0;682730
BenchmarkTest.ParallelTest;QuickSort;BenchmarkTest;ParallelTest;Job-QPZBCL;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-QPZBCL(RunStrategy=Throughput);N=1000000;1;Workload;Warmup;2;516328600;64;8067634.38;14;0;0;682730
